date,amount,utr,description
2026-08-21,4330.27,3624410325ey629r,NEFT CR: AXIS 3624410325ey629r RAZORPAY SETTLEMENT
2026-08-22,13258.57,5135595227q4svh3,NEFT CR: KOTAK 5135595227q4svh3 RAZORPAY SETTLEMENT
2026-08-14,1235.63,5952163720i16dh7,NEFT CR: ICICI 5952163720i16dh7 RAZORPAY SETTLEMENT
2026-08-17,14446.06,5203589186whl8z7,NEFT CR: KOTAK 5203589186whl8z7 RAZORPAY SETTLEMENT
2026-08-18,13190.76,6879428703mip5bx,NEFT CR: HDFC 6879428703mip5bx RAZORPAY SETTLEMENT
2026-08-23,6828.57,78524155259ph3i3,NEFT CR: KOTAK 78524155259ph3i3 RAZORPAY SETTLEMENT
2026-08-16,14604.43,179971892363rmhv,NEFT CR: ICICI 179971892363rmhv RAZORPAY SETTLEMENT
2026-08-21,1353.57,1455028401wkczv1,NEFT CR: KOTAK 1455028401wkczv1 RAZORPAY SETTLEMENT
2026-08-22,10142.25,60371686101z5by1,NEFT CR: SBI 60371686101z5by1 RAZORPAY SETTLEMENT
2026-08-18,13961.78,99142745125jr0y2,NEFT CR: AXIS 99142745125jr0y2 RAZORPAY SETTLEMENT
2026-08-22,1355.25,13486975241tdgnn,NEFT CR: ICICI 13486975241tdgnn RAZORPAY SETTLEMENT
2026-08-16,5769.35,36155071436l6gt6,NEFT CR: KOTAK 36155071436l6gt6 RAZORPAY SETTLEMENT
2026-08-26,3644.28,5165932723g73aj0,NEFT CR: KOTAK 5165932723g73aj0 RAZORPAY SETTLEMENT
2026-08-04,13941.59,2693725910x3fg6i,NEFT CR: ICICI 2693725910x3fg6i RAZORPAY SETTLEMENT
2026-08-24,4735.91,1965067727x272hp,NEFT CR: KOTAK 1965067727x272hp RAZORPAY SETTLEMENT
2026-08-20,5258.44,3796581976vcbfcq,NEFT CR: HDFC 3796581976vcbfcq RAZORPAY SETTLEMENT
2026-08-18,1020.58,5022964382susdfo,NEFT CR: HDFC 5022964382susdfo RAZORPAY SETTLEMENT
2026-08-21,3662.05,8239941612xn22px,NEFT CR: AXIS 8239941612xn22px RAZORPAY SETTLEMENT
2026-08-02,5673.1,8628603366nj971h,NEFT CR: ICICI 8628603366nj971h RAZORPAY SETTLEMENT
2026-08-12,8121.18,2881937953zx6kbj,NEFT CR: AXIS 2881937953zx6kbj RAZORPAY SETTLEMENT
2026-08-07,3016.29,5241397494ovjarj,NEFT CR: HDFC 5241397494ovjarj RAZORPAY SETTLEMENT
2026-08-24,1697.23,516057504695jmsn,NEFT CR: AXIS 516057504695jmsn RAZORPAY SETTLEMENT
2026-08-06,6745.03,51518874785bfz63,NEFT CR: HDFC 51518874785bfz63 RAZORPAY SETTLEMENT
2026-08-14,2183.73,9583864766c7t3bd,NEFT CR: SBI 9583864766c7t3bd RAZORPAY SETTLEMENT
2026-08-26,933.28,26700369821zbm21,NEFT CR: HDFC 26700369821zbm21 RAZORPAY SETTLEMENT
2026-08-19,7689.29,841775779755x7rf,NEFT CR: ICICI 841775779755x7rf RAZORPAY SETTLEMENT
2026-08-25,5075.95,8543865915830dm7,NEFT CR: AXIS 8543865915830dm7 RAZORPAY SETTLEMENT
2026-08-09,3935.6,7603978731boscro,NEFT CR: ICICI 7603978731boscro RAZORPAY SETTLEMENT
2026-08-06,3740.5,2727768349dz6s60,NEFT CR: ICICI 2727768349dz6s60 RAZORPAY SETTLEMENT
2026-08-16,1185.65,5419627962o5or15,NEFT CR: SBI 5419627962o5or15 RAZORPAY SETTLEMENT
2026-08-02,6625.75,3047869247o1fgan,NEFT CR: SBI 3047869247o1fgan RAZORPAY SETTLEMENT
2026-08-21,1112.44,2349409434f07uqn,NEFT CR: AXIS 2349409434f07uqn RAZORPAY SETTLEMENT
2026-08-27,2866.08,92995842105m8pja,NEFT CR: HDFC 92995842105m8pja RAZORPAY SETTLEMENT
2026-08-20,5489.92,31096887699hqq2n,NEFT CR: ICICI 31096887699hqq2n RAZORPAY SETTLEMENT
2026-08-28,6317.74,53823024657xe786,NEFT CR: AXIS 53823024657xe786 RAZORPAY SETTLEMENT
2026-08-13,10263.08,1207916194rusv9i,NEFT CR: ICICI 1207916194rusv9i RAZORPAY SETTLEMENT
2026-08-25,8300.86,3045102506v3n74w,NEFT CR: AXIS 3045102506v3n74w RAZORPAY SETTLEMENT
2026-08-15,9838.3,19137062131dstwg,NEFT CR: HDFC 19137062131dstwg RAZORPAY SETTLEMENT
2026-08-08,2359.36,7406913885imy965,NEFT CR: HDFC 7406913885imy965 RAZORPAY SETTLEMENT
2026-08-23,7440.33,3412273600uwzix6,NEFT CR: AXIS 3412273600uwzix6 RAZORPAY SETTLEMENT
2026-08-25,8973.12,3373077218919ahe,NEFT CR: AXIS 3373077218919ahe RAZORPAY SETTLEMENT
2026-08-28,2992.67,6929897032nzp9us,NEFT CR: AXIS 6929897032nzp9us RAZORPAY SETTLEMENT
2026-08-19,9562.63,1822662216hmuh8l,NEFT CR: KOTAK 1822662216hmuh8l RAZORPAY SETTLEMENT
2026-08-10,3690.34,7285025763h8wn2t,NEFT CR: AXIS 7285025763h8wn2t RAZORPAY SETTLEMENT
2026-08-12,8121.18,2881937953zx6kbj,NEFT CR: AXIS 2881937953zx6kbj RAZORPAY SETTLEMENT
2026-08-15,9838.3,19137062131dstwg,NEFT CR: HDFC 19137062131dstwg RAZORPAY SETTLEMENT
2026-08-27,8578.66,2311597141tfiuhp,NEFT CR: SBI 2311597141tfiuhp RAZORPAY SETTLEMENT
2026-08-15,2433.68,5516315438f2xf8m,NEFT CR: HDFC 5516315438f2xf8m RAZORPAY SETTLEMENT
2026-08-16,1200.03,6157617867v2v1it,NEFT CR: AXIS 6157617867v2v1it RAZORPAY SETTLEMENT
2026-08-06,3953.65,99244569940oup0u,NEFT CR: HDFC 99244569940oup0u RAZORPAY SETTLEMENT
2026-08-24,853.75,8138816152qjvfjw,NEFT CR: KOTAK 8138816152qjvfjw RAZORPAY SETTLEMENT
2026-08-05,1346.75,72427302499n12o0,NEFT CR: AXIS 72427302499n12o0 RAZORPAY SETTLEMENT
2026-08-29,5698.46,3261436148oijesg,NEFT CR: KOTAK 3261436148oijesg RAZORPAY SETTLEMENT
2026-08-06,1536.18,5100282913tn76mz,NEFT CR: SBI 5100282913tn76mz RAZORPAY SETTLEMENT
2026-08-19,14309.26,5515628633as442v,NEFT CR: SBI 5515628633as442v RAZORPAY SETTLEMENT
2026-08-13,4842.46,21666053392q4nm8,NEFT CR: ICICI 21666053392q4nm8 RAZORPAY SETTLEMENT
2026-08-27,5541.94,1600337712oe3t0h,NEFT CR: HDFC 1600337712oe3t0h RAZORPAY SETTLEMENT
2026-08-17,1520.42,6392415228cozdan,NEFT CR: KOTAK 6392415228cozdan RAZORPAY SETTLEMENT
2026-08-24,10199.73,1481933114f727xe,NEFT CR: KOTAK 1481933114f727xe RAZORPAY SETTLEMENT
2026-08-22,4682.63,48801768251gg2kt,NEFT CR: SBI 48801768251gg2kt RAZORPAY SETTLEMENT
2026-08-16,3197.2,2885330933c2dpcz,NEFT CR: SBI 2885330933c2dpcz RAZORPAY SETTLEMENT
2026-08-17,12012.47,7857221324hqlqcg,NEFT CR: KOTAK 7857221324hqlqcg RAZORPAY SETTLEMENT
2026-08-07,5709.89,7598745558ftf6nj,NEFT CR: HDFC 7598745558ftf6nj RAZORPAY SETTLEMENT
2026-08-10,13921.79,1851819913tgbtyz,NEFT CR: AXIS 1851819913tgbtyz RAZORPAY SETTLEMENT
2026-08-27,6675.28,1728004476f9p7ky,NEFT CR: ICICI 1728004476f9p7ky RAZORPAY SETTLEMENT
2026-08-19,5317.17,2721355673tvwalj,NEFT CR: KOTAK 2721355673tvwalj RAZORPAY SETTLEMENT
2026-08-25,4475.12,2300656317n2se05,NEFT CR: SBI 2300656317n2se05 RAZORPAY SETTLEMENT
2026-08-19,4611.5,1632880459vfptom,NEFT CR: HDFC 1632880459vfptom RAZORPAY SETTLEMENT
2026-08-13,11018.24,1865826728lie3cs,NEFT CR: AXIS 1865826728lie3cs RAZORPAY SETTLEMENT
2026-08-29,12016.84,5523703900fo2wb0,NEFT CR: HDFC 5523703900fo2wb0 RAZORPAY SETTLEMENT
2026-08-28,13195.1,4011966884blv0pr,NEFT CR: ICICI 4011966884blv0pr RAZORPAY SETTLEMENT
2026-08-09,5699.03,86369845804mx23s,NEFT CR: ICICI 86369845804mx23s RAZORPAY SETTLEMENT
2026-08-05,4564.98,6018142572ndw8r8,NEFT CR: AXIS 6018142572ndw8r8 RAZORPAY SETTLEMENT
2026-08-08,6692.18,5570828113ijoyjn,NEFT CR: SBI 5570828113ijoyjn RAZORPAY SETTLEMENT
2026-08-06,10110.04,4969233836con4rc,NEFT CR: HDFC 4969233836con4rc RAZORPAY SETTLEMENT
2026-08-09,11702.29,9849565863jan63x,NEFT CR: SBI 9849565863jan63x RAZORPAY SETTLEMENT
2026-08-04,12971.79,7452729913yw485w,NEFT CR: AXIS 7452729913yw485w RAZORPAY SETTLEMENT
2026-08-05,4564.98,6018142572ndw8r8,NEFT CR: AXIS 6018142572ndw8r8 RAZORPAY SETTLEMENT
2026-08-25,425.24,4213790202je7ak2,NEFT CR: ICICI 4213790202je7ak2 RAZORPAY SETTLEMENT
2026-08-16,6453.5,9917981516ztvovk,NEFT CR: ICICI 9917981516ztvovk RAZORPAY SETTLEMENT
2026-08-07,473.73,2546720356r7eqe5,NEFT CR: ICICI 2546720356r7eqe5 RAZORPAY SETTLEMENT
2026-08-05,5343.4,2934982045mu46jd,NEFT CR: ICICI 2934982045mu46jd RAZORPAY SETTLEMENT
2026-08-21,13490.19,93834312590qf4b8,NEFT CR: HDFC 93834312590qf4b8 RAZORPAY SETTLEMENT
2026-08-22,3027.79,6915072151284wv9,NEFT CR: SBI 6915072151284wv9 RAZORPAY SETTLEMENT
2026-08-15,1029.9,9337145038ubr25o,NEFT CR: AXIS 9337145038ubr25o RAZORPAY SETTLEMENT
2026-08-15,13294.72,73089680232uuj2e,NEFT CR: HDFC 73089680232uuj2e RAZORPAY SETTLEMENT
2026-08-22,3320.2,369486022865fdhj,NEFT CR: SBI 369486022865fdhj RAZORPAY SETTLEMENT
2026-08-13,8298.55,6582557981tv6685,NEFT CR: HDFC 6582557981tv6685 RAZORPAY SETTLEMENT
2026-08-22,2810.84,7293823553aqxpdh,NEFT CR: AXIS 7293823553aqxpdh RAZORPAY SETTLEMENT
2026-08-23,8739.24,514190713649kq71,NEFT CR: KOTAK 514190713649kq71 RAZORPAY SETTLEMENT
2026-08-23,5551.75,17300742151jp70l,NEFT CR: AXIS 17300742151jp70l RAZORPAY SETTLEMENT
2026-08-14,1836.33,5621463184f6wdg1,NEFT CR: HDFC 5621463184f6wdg1 RAZORPAY SETTLEMENT
2026-08-13,14467.79,3734252963d5sowo,NEFT CR: HDFC 3734252963d5sowo RAZORPAY SETTLEMENT
2026-08-26,6854.53,21358724957a9tgi,NEFT CR: AXIS 21358724957a9tgi RAZORPAY SETTLEMENT
2026-08-21,1951.81,1546696950ht6t0u,NEFT CR: KOTAK 1546696950ht6t0u RAZORPAY SETTLEMENT
2026-08-27,7076.22,6491309593m82i1l,NEFT CR: KOTAK 6491309593m82i1l RAZORPAY SETTLEMENT
2026-08-21,14356.5,5376302686yjpchm,NEFT CR: ICICI 5376302686yjpchm RAZORPAY SETTLEMENT
2026-08-16,330.34,6534540349ojrjed,NEFT CR: SBI 6534540349ojrjed RAZORPAY SETTLEMENT
2026-08-16,1859.34,28464650000rn6hw,NEFT CR: AXIS 28464650000rn6hw RAZORPAY SETTLEMENT
2026-08-13,2442.78,5489485517bzqane,NEFT CR: HDFC 5489485517bzqane RAZORPAY SETTLEMENT
2026-08-27,6182.13,2282044148q4mpr9,NEFT CR: SBI 2282044148q4mpr9 RAZORPAY SETTLEMENT
2026-08-11,8174.94,95050859365s6r04,NEFT CR: SBI 95050859365s6r04 RAZORPAY SETTLEMENT
2026-08-04,8862.4,8291250562ywllpu,NEFT CR: KOTAK 8291250562ywllpu RAZORPAY SETTLEMENT
