entity_id,order_id,settlement_id,settlement_utr,amount,fee,tax,credit,settled_at
pay_yEWPuqoGxlvwVI,order_00048,setl_CWiV0pL1xrdseo,1865826728lie3cs,11284.55,225.69,40.62,11018.24,2026-08-13
pay_XHwRkOzb2jx0nn,order_00037,setl_rpjBm7q1sRBLRs,2721355673tvwalj,5445.68,108.91,19.6,5317.17,2026-08-19
pay_OoODGaVteGrxIA,order_00062,setl_9j7Kap744eepMw,5022964382susdfo,1045.25,20.91,3.76,1020.58,2026-08-18
pay_5zxRDzehWxlOKG,order_00099,setl_PqPRi0y6vDw8Ok,8291250562ywllpu,9076.61,0,0,8862.4,2026-08-04
pay_rDJJzk8TFPHjwa,order_00021,setl_mmynOxhYc6cT3l,13486975241tdgnn,1388.01,27.76,5.0,1355.25,2026-08-22
pay_iB6ZlkqBFpbI3d,order_00015,setl_LDQYUNdUVw4YRw,93834312590qf4b8,13816.26,276.33,49.74,13490.19,2026-08-21
pay_FllQ60EBEM5pcz,order_00097,setl_IF521zVHC8dDK7,60371686101z5by1,10387.39,207.75,37.39,10142.25,2026-08-22
pay_L1sxnz5KucCaXr,order_00044,setl_uPcnSwvycOiPT9,86369845804mx23s,5836.78,116.74,21.01,5699.03,2026-08-09
pay_0OPdWJRM74uwHC,order_00068,setl_zqanx744BPNEGm,2885330933c2dpcz,3274.48,65.33,11.76,3197.2,2026-08-16
pay_ndEH15fmiBogkP,order_00047,setl_tJSbAnWPkaLqqF,53823024657xe786,6470.44,129.41,23.29,6317.74,2026-08-28
pay_cQW30Fc3HxzPNz,order_00084,setl_vlsW3tnobKnIyN,6018142572ndw8r8,4675.32,93.51,16.83,4564.98,2026-08-05
pay_CmJrc8XXcwEkIh,order_00051,setl_XZUpRP9HBvLfhY,31096887699hqq2n,5622.61,112.45,20.24,5489.92,2026-08-20
pay_CTycClXuIF6SUv,order_00030,setl_aLMIyi4Xhg6R1K,5135595227q4svh3,13579.03,271.58,48.88,13258.57,2026-08-22
pay_5r0GI9wya6DR3p,order_00085,setl_Is3IPJtU1Pw1rZ,99142745125jr0y2,14299.24,285.98,51.48,13961.78,2026-08-18
pay_RaTeyEXQ8Puofm,order_00077,setl_nMdGITA8ZV1nYz,6157617867v2v1it,1229.03,0,0,1200.03,2026-08-16
pay_v3ecQwP1oRxxhf,order_00013,setl_oPRcEtSPRVU5iF,5570828113ijoyjn,6853.93,137.08,24.67,6692.18,2026-08-08
pay_U7G1tpVyJICS61,order_00046,setl_es1IwtecnA5FBQ,8628603366nj971h,5810.22,116.2,20.92,5673.1,2026-08-02
pay_j77yuRSHkriY5Z,order_00061,setl_0W9xzJSCS9tFW7,21666053392q4nm8,4959.5,99.19,17.85,4842.46,2026-08-13
pay_yfL7v937S4CATk,order_00063,setl_mG7VSdpihf48I2,179971892363rmhv,14957.43,299.15,53.85,14604.43,2026-08-16
pay_p2pwCFZYYjeDoA,order_00074,setl_sKFf2bpyVk2G5h,4969233836con4rc,10354.41,207.09,37.28,10110.04,2026-08-06
pay_IYdXq8vs8ialvu,order_00032,setl_J4apG1fna88RCs,8239941612xn22px,3750.56,75.01,13.5,3662.05,2026-08-21
pay_F2V2r2iY9Uot4w,order_00028,setl_f3iCnEPor6SOvF,48801768251gg2kt,4795.81,104.82,18.87,4682.63,2026-08-22
pay_1BnJPIeqHk8Nds,order_00016,setl_QxXKmm9vtHx0K9,1851819913tgbtyz,14258.29,285.17,51.33,13921.79,2026-08-10
pay_B9NlJw0t0Z7ETK,order_00075,setl_kPk12Yr5iVYwvI,5621463184f6wdg1,1880.71,29.36,5.29,1836.33,2026-08-14
pay_KxdkvxxfjgHkHR,order_00083,setl_xi0Xi0wCwuciNb,7603978731boscro,2416.38,64.47,11.61,3935.6,2026-08-09
pay_VNro2QgfQ562DF,order_00007,setl_ob1RCAVxIoQKvc,3373077218919ahe,9190.0,0,0,8973.12,2026-08-25
pay_qhOaTRDj8l4v6L,order_00068,setl_orbjfDW8pqYyhU,4763500857souupt,3274.48,65.33,11.76,3182.29,2026-08-17
pay_IwHluYW9bUyIPR,order_00089,setl_pFPjmmumSx8sB2,5100282913tn76mz,1573.31,31.47,5.66,1536.18,2026-08-06
pay_GDS8Y3naP935K0,order_00056,setl_U7kuUMwKfgdf4T,51518874785bfz63,6908.06,138.16,24.87,6745.03,2026-08-06
pay_jaABhuRiSBg0sr,order_00073,setl_bz86LG6GhJPMnh,,530.26,10.61,1.91,517.74,2026-08-20
pay_tuehaxa0kEIUpE,order_00053,setl_cdrhWI41xjolLx,5952163720i16dh7,1265.5,25.31,4.56,1235.63,2026-08-14
pay_41preSiA2GbI4Q,order_00057,setl_uXwZXCZDkjMXjS,3624410325ey629r,4434.94,88.7,15.97,4330.27,2026-08-21
pay_7EAdnkGEiNgQI7,order_00006,setl_W4E4PXSKc1itTn,21358724957a9tgi,7020.2,140.4,25.27,6854.53,2026-08-26
pay_UHAfvbLIYitOgj,order_00038,setl_1qzWEZ3vCbBd6E,6392415228cozdan,1904.28,34.62,6.23,1520.42,2026-08-17
pay_V0Iqs18vr6hFpq,order_00043,setl_bgXBXTL8NV8xfM,3261436148oijesg,5836.19,116.72,21.01,5698.46,2026-08-29
pay_cchhnKXX6SYaxV,order_00042,setl_rmDyopVEVGjrYS,8138816152qjvfjw,874.39,17.49,3.15,853.75,2026-08-24
pay_WT0y3OOBqMZVR3,order_00009,setl_E9xRWpgZr1iV8B,7857221324hqlqcg,12302.82,0,0,12012.47,2026-08-17
pay_HB2VpGrzK7vPhL,order_00081,setl_jKVjb9dOzZoLLo,26700369821zbm21,955.84,19.12,3.44,933.28,2026-08-26
pay_hQj38AruHr4iwR,order_00001,setl_xpVHSbKdA9u4uQ,36155071436l6gt6,5908.8,118.18,21.27,5769.35,2026-08-16
pay_iSp9TePzzrZTdE,order_00055,setl_sDKcaedNVmJU3t,3412273600uwzix6,7620.16,152.4,27.43,7440.33,2026-08-23
pay_68SXnOO9IeJdvm,order_00065,setl_Xasj6ewizq0NwP,1481933114f727xe,10446.27,208.93,37.61,10199.73,2026-08-24
pay_Fn3YnrPf6lJOdo,order_00028,setl_QdQqA5zd5SriKE,17300742151jp70l,4795.81,104.82,18.87,5551.75,2026-08-23
pay_9Jr7eEF1FFbGvv,order_00036,setl_XzIjDl9jjVqHaW,19137062131dstwg,10076.09,201.52,36.27,9838.3,2026-08-15
pay_kYbLfois6p7LjK,order_00083,setl_fSILU1cnD3W8Af,7406913885imy965,2416.38,64.47,11.61,2359.36,2026-08-08
pay_Ty5u3soBmeQ9py,order_00059,setl_xlkOuDleKhounx,5376302686yjpchm,14703.5,294.07,52.93,14356.5,2026-08-21
pay_dGzuew1U6NXUaC,order_00071,setl_k3OvJBQj7lluaS,,7837.4,156.75,28.21,7652.44,2026-08-18
pay_i1AF7w2PKafeN3,order_00004,setl_Z5DKYAYQ7yydSb,516057504695jmsn,1738.26,34.77,6.26,1697.23,2026-08-24
pay_gv4I3ERxy2aV7y,order_00026,setl_gR0ASuT1llqf3J,6915072151284wv9,3100.97,0,0,3027.79,2026-08-22
pay_4tUNpfZ46pdJQI,order_00000,setl_PvjiQvlb5lZXOI,369486022865fdhj,3400.45,68.01,12.24,3320.2,2026-08-22
pay_smeSCOStSs3dEr,order_00022,setl_O7Qyyolqz7MbHi,6534540349ojrjed,338.33,6.77,1.22,330.34,2026-08-16
pay_9bMs6I4pTK374R,order_00087,setl_FpXQFXq5pKDZoT,3047869247o1fgan,6785.9,0,0,6625.75,2026-08-02
pay_bLrlqYFxnSzPtE,order_00075,setl_FRJYtyoJvYUXGF,9337145038ubr25o,1880.71,29.36,5.29,1029.9,2026-08-15
pay_o9bsQd2TMY2eGP,order_00029,setl_YkWkSsSB1qZRAk,3734252963d5sowo,14817.48,296.35,53.34,14467.79,2026-08-13
pay_GFUqSTcmtbKscW,order_00050,setl_cCu36WnbRoy8DE,2881937953zx6kbj,8317.47,166.35,29.94,8121.18,2026-08-12
pay_820dFqNpomBDyV,order_00033,setl_PIykNE1wjNlN03,5241397494ovjarj,3089.19,61.78,11.12,3016.29,2026-08-07
pay_yyPlUBLQDIvahH,order_00034,setl_vEecxXglGcgO8n,9583864766c7t3bd,2236.51,0,0,2183.73,2026-08-14
pay_G2KVasfSq8Z0wj,order_00024,setl_CdFUQUHxZ3g0Aq,8543865915830dm7,5198.63,0,0,5075.95,2026-08-25
pay_luqjNeN36VT96A,order_00070,setl_N7M9vHvwe6Psmt,6929897032nzp9us,3065.0,61.3,11.03,2992.67,2026-08-28
pay_mCN12UJFtP9WZg,order_00096,setl_DrTQ0LB8Z2cjvj,,12446.88,248.94,44.81,12153.13,2026-08-24
pay_Y5xl8sB24wkYeA,order_00014,setl_8WTwY2591aivvi,5419627962o5or15,1214.31,0,0,1185.65,2026-08-16
pay_R4cPwdknqYVBf2,order_00018,setl_ULfNWzQVR4ms4R,83876644379a7mfp,3907.78,0,0,3815.55,2026-08-05
pay_zHykyCWibqXEgp,order_00017,setl_VA2a0fGb9Xo51d,,12798.31,255.97,46.07,12496.27,2026-08-22
pay_5Z0bgUFZqGLIeU,order_00064,setl_7PAQYPcwR9VTlu,7293823553aqxpdh,2878.78,0,0,2810.84,2026-08-22
pay_h4AX7UIY31kaXi,order_00090,setl_rLwe9xEBlEAQNC,2727768349dz6s60,3830.91,96.79,17.42,3740.5,2026-08-06
pay_eQCwpMSW3xD3pV,order_00049,setl_RHzXb4Zvc59YVL,841775779755x7rf,7875.14,157.5,28.35,7689.29,2026-08-19
pay_ifcFmC4bvUmQBF,order_00023,setl_O9r13kl8Bwr0Rk,,14156.34,283.13,50.96,13822.25,2026-08-20
pay_c4sfHBomzPtKTj,order_00025,setl_AjaFO16Hd8Hp1J,95050859365s6r04,8372.53,167.45,30.14,8174.94,2026-08-11
pay_toaSHZB9UKz8nd,order_00039,setl_1s6XFb2GPblZhF,9917981516ztvovk,6609.48,132.19,23.79,6453.5,2026-08-16
pay_wqY2vuTGNhPaf9,order_00094,setl_DJtRFC6O52has5,2693725910x3fg6i,14278.56,285.57,51.4,13941.59,2026-08-04
pay_eg62hKD9gF2LEm,order_00005,setl_Er3PZH84kPlmCn,2349409434f07uqn,1139.33,22.79,4.1,1112.44,2026-08-21
pay_RGIFLbcjjgaGBF,order_00076,setl_WjFmmyU3YASaYx,1728004476f9p7ky,6836.62,136.73,24.61,6675.28,2026-08-27
pay_5kruHOvgAC23AP,order_00092,setl_CeXY6JL792Cjz6,99244569940oup0u,4049.21,80.98,14.58,3953.65,2026-08-06
pay_sAKf8Whhy0uQKX,order_00091,setl_Ivx3Ru4Hx5BVzb,2546720356r7eqe5,485.18,9.7,1.75,473.73,2026-08-07
pay_Fzr92UqWtEjiS5,order_00052,setl_T2Ktt7soLyXgOH,6879428703mip5bx,13509.58,270.19,48.63,13190.76,2026-08-18
pay_VBljOlOAEtoDOE,order_00002,setl_5C3VEgPRqfNiIu,1965067727x272hp,8950.47,138.01,24.84,4735.91,2026-08-24
pay_hC9ZE4d3Sx2TUF,order_00093,setl_jdAXMSkyTvnPdX,92995842105m8pja,2935.36,58.71,10.57,2866.08,2026-08-27
pay_IuifL64ip9DhC1,order_00072,setl_2E80qDwAaI1oOE,9849565863jan63x,11985.14,239.7,43.15,11702.29,2026-08-09
pay_elZig763saiCy9,order_00079,setl_Xs5zimo6FGxPqq,1455028401wkczv1,1386.29,0,0,1353.57,2026-08-21
pay_MQCtbAh7ziru8v,order_00010,setl_vqMXbE8q6VnUq2,1546696950ht6t0u,1998.99,0,0,1951.81,2026-08-21
pay_CSaLxIxpup9aX5,order_00067,setl_Yc366YYFr9q3iI,5203589186whl8z7,14795.22,295.9,53.26,14446.06,2026-08-17
pay_kOcXZdxrlsgJWB,order_00080,setl_eGSa69FH18uJWT,3045102506v3n74w,8501.5,170.03,30.61,8300.86,2026-08-25
pay_V0H3bsIeEOYFuz,order_00088,setl_GGUX4TIYx0w3Ip,4213790202je7ak2,435.52,8.71,1.57,425.24,2026-08-25
pay_2U7zZs1vUUcROE,order_00095,setl_8MIxxlGJGKcdUa,7285025763h8wn2t,3779.54,75.59,13.61,3690.34,2026-08-10
pay_mSG1MSOXLTAtiI,order_00020,setl_RCDjSs8Io3wfG3,5515628633as442v,14655.12,293.1,52.76,14309.26,2026-08-19
pay_Wu90p0JPGJQMLm,order_00040,setl_JwwpEL8xofdwkw,73089680232uuj2e,13616.06,272.32,49.02,13294.72,2026-08-15
pay_d8fUlA3x2uFudo,order_00086,setl_qsW2EyiZN9b0Nf,1207916194rusv9i,10511.14,210.22,37.84,10263.08,2026-08-13
